Elapsed Time (ms), RR (ms), Heart Rate (bpm)
2170,363,165.1
2550,380,157.9
2920,370,162.2
3293,373,160.7
3667,373,160.7
4060,393,152.5
4450,390,153.8
4847,397,151.3
5240,393,152.5
5617,377,159.3
5983,367,163.6
6360,377,159.3
6730,370,162.2
7103,373,160.7
7477,373,160.7
7843,367,163.6
8210,367,163.6
8580,370,162.2
8950,370,162.2
9323,373,160.7
9693,370,162.2
10087,393,152.5
10477,390,153.8
10887,410,146.3
11287,400,150
11700,413,145.2
12103,403,148.8
12493,390,153.8
12883,390,153.8
13287,403,148.8
13677,390,153.8
14073,397,151.3
14457,383,156.5
14860,403,148.8
15250,390,153.8
15633,383,156.5
16013,380,157.9
16383,370,162.2
16753,370,162.2
17133,380,157.9
17507,373,160.7
17880,373,160.7
18240,360,166.7
18593,353,169.8
19000,407,147.5
19337,337,178.2
19690,353,169.8
20050,360,166.7
20407,357,168.2
20770,363,165.1
21140,370,162.2
21503,363,165.1
21863,360,166.7
22227,363,165.1
22587,360,166.7
22950,363,165.1
23313,363,165.1
23673,360,166.7
24037,363,165.1
24417,380,157.9
24803,387,155.2
25187,383,156.5
25593,407,147.5
25990,397,151.3
26387,397,151.3
26787,400,150
27180,393,152.5
27580,400,150
27977,397,151.3
28363,387,155.2
28750,387,155.2
29143,393,152.5
29540,397,151.3
29940,400,150
30333,393,152.5
30737,403,148.8
31133,397,151.3
31537,403,148.8
31940,403,148.8
32340,400,150
32747,407,147.5
33160,413,145.2
33563,403,148.8
33980,417,144
34390,410,146.3
34820,430,139.5
35247,427,140.6
35660,413,145.2
36117,457,131.4
36557,440,136.4
36990,433,138.5
37457,467,128.6
37893,437,137.4
38320,427,140.6
38797,477,125.9
39243,447,134.3
39680,437,137.4
40137,457,131.4
40577,440,136.4
41010,433,138.5
41453,443,135.3
41887,433,138.5
42330,443,135.3
42780,450,133.3
43213,433,138.5
43643,430,139.5
44067,423,141.7
44487,420,142.9
44903,417,144
45330,427,140.6
45763,433,138.5
46190,427,140.6
46610,420,142.9
47030,420,142.9
47443,413,145.2
47877,433,138.5
48303,427,140.6
48737,433,138.5
49230,493,121.6
49680,450,133.3
50133,453,132.4
50663,530,113.2
51130,467,128.6
51593,463,129.5
52057,463,129.5
52500,443,135.3
52930,430,139.5
53357,427,140.6
53783,427,140.6
54203,420,142.9
54630,427,140.6
55043,413,145.2
