Time	Code_Type	Event_Type	Event_Num
6.605	Task	Start	.
6.605	Task	Start	.
349.605	Look	Stop	.
349.605	Look	Stop	.
12.4313	Trial	.	1
14.3322	Trial	.	2
26.7797	Trial	.	3
29.2316	Trial	.	4
41.011	Trial	.	5
44.553	Trial	.	6
51.9661	Trial	.	7
55.3961	Trial	.	8
69.5652	Trial	.	9
74.1005	Trial	.	10
82.0628	Trial	.	11
83.9627	Trial	.	12
95.9321	Trial	.	13
98.2663	Trial	.	14
112.5835	Trial	.	15
116.4359	Trial	.	16
121.3503	Trial	.	17
126.8872	Trial	.	18
141.1501	Trial	.	19
142.7651	Trial	.	20
155.4402	Trial	.	21
160.3433	Trial	.	22
169.7981	Trial	.	23
176.9907	Trial	.	24
184.0611	Trial	.	25
191.7286	Trial	.	26
198.4461	Trial	.	27
208.2986	Trial	.	28
212.6819	Trial	.	29
226.9856	Trial	.	30
228.5191	Trial	.	31
238.5479	Trial	.	32
241.3299	Trial	.	33
255.5522	Trial	.	34
262.324	Trial	.	35
269.9372	Trial	.	36
275.5013	Trial	.	37
278.2697	Trial	.	38
284.2002	Trial	.	39
296.7396	Trial	.	40
298.5174	Trial	.	41
312.7939	Trial	.	42
315.8338	Trial	.	43
322.0779	Trial	.	44
327.084	Trial	.	45
341.469	Trial	.	46
347.5081	Trial	.	47
