Time,Code_Type,Event_Type,Event_Num
27.208,Task,Start,.
370.208,Task,Stop,.
29.2349,Trial,.,1
36.9059,Trial,.,2
43.9593,Trial,.,3
51.2502,Trial,.,4
57.2112,Trial,.,5
65.5708,Trial,.,6
77.8015,Trial,.,7
79.7727,Trial,.,8
92.7159,Trial,.,9
94.2595,Trial,.,10
104.9941,Trial,.,11
108.4377,Trial,.,12
117.6522,Trial,.,13
122.7583,Trial,.,14
128.1493,Trial,.,15
137.0789,Trial,.,16
151.3757,Trial,.,17
153.6556,Trial,.,18
160.0679,Trial,.,19
165.7201,Trial,.,20
173.2248,Trial,.,21
179.9695,Trial,.,22
184.3868,Trial,.,23
194.2663,Trial,.,24
206.0933,Trial,.,25
208.6107,Trial,.,26
219.9389,Trial,.,27
222.8601,Trial,.,28
233.1908,Trial,.,29
237.1332,Trial,.,30
251.5013,Trial,.,31
254.8024,Trial,.,32
265.7981,Trial,.,33
269.5742,Trial,.,34
280.095,Trial,.,35
288.7634,Trial,.,36
294.3681,Trial,.,37
308.76,Trial,.,38
311.5148,Trial,.,39
313.6285,Trial,.,40
322.9618,Trial,.,41
337.3062,Trial,.,42
339.1111,Trial,.,43
345.5233,Trial,.,44
351.6506,Trial,.,45
363.4538,Trial,.,46
365.9712,Trial,.,47
,,,
