Time,Code_Type,Event_Type,Event_Num
198.565,Look,Start,.
228.231,Look,Stop,.
229.398,Look,Start,.
233.764,Look,Stop,.
235.098,Look,Start,.
236.131,Look,Stop,.
237.131,Look,Start,.
240.498,Look,Stop,.
242.164,Look,Start,.
243.498,Look,Stop,.
245.131,Look,Start,.
248.264,Look,Stop,.
249.831,Look,Start,.
250.764,Look,Stop,.
253.397,Look,Start,.
259.197,Look,Stop,.
260.831,Look,Start,.
266.464,Look,Stop,.
269.131,Look,Start,.
272.197,Look,Stop,.
273.297,Look,Start,.
275.031,Look,Stop,.
275.531,Look,Start,.
276.231,Look,Stop,.
276.531,Look,Start,.
278.397,Look,Stop,.
281.331,Look,Start,.
284.597,Look,Stop,.
285.997,Look,Start,.
288.33,Look,Stop,.
295.197,Look,Start,.
297.497,Look,Stop,.
300.164,Look,Start,.
303.764,Look,Stop,.
305.93,Look,Start,.
310.664,Look,Stop,.
346.097,Look,Start,.
363.13,Look,Stop,.
365.03,Look,Start,.
366.063,Look,Stop,.
368.696,Look,Start,.
374.33,Look,Stop,.
377.596,Look,Start,.
392.996,Look,Stop,.
393.963,Look,Start,.
408.596,Look,Stop,.
413.796,Look,Start,.
416.096,Look,Stop,.
420.762,Look,Start,.
423.362,Look,Stop,.
430.696,Look,Start,.
440.462,Look,Stop,.
448.196,Look,Start,.
457.862,Look,Stop,.
460.862,Look,Start,.
470.129,Look,Stop,.
472.395,Look,Start,.
479.429,Look,Stop,.
487.395,Look,Start,.
492.928,Look,Stop,.
494.928,Look,Start,.
500.562,Look,Stop,.
504.562,Look,Start,.
510.028,Look,Stop,.
198.565,Task,Start,.
544.928,Task,Stop,.
199.431,Trial,.,1
206.098,Trial,.,2
212.831,Trial,.,3
219.564,Trial,.,4
225.998,Trial,.,5
232.731,Trial,.,6
239.064,Trial,.,7
246.898,Trial,.,8
255.131,Trial,.,9
262.297,Trial,.,10
270.297,Trial,.,11
283.63,Trial,.,13
349.163,Trial,.,16
355.63,Trial,.,17
362.063,Trial,.,18
370.163,Trial,.,19
379.43,Trial,.,20
385.663,Trial,.,21
391.929,Trial,.,22
398.429,Trial,.,23
404.663,Trial,.,24
415.329,Trial,.,25
421.896,Trial,.,26
432.096,Trial,.,27
438.496,Trial,.,28
449.729,Trial,.,29
456.129,Trial,.,30
462.662,Trial,.,31
475.762,Trial,.,33
488.895,Trial,.,34
496.495,Trial,.,35
505.995,Trial,.,36
